sampleid	forward-absolute-filepath	reverse-absolute-filepath
116	/home/rpg79/FWrawreads/Plate02_C04_116_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_C04_116_R_10484089_2373JKLT3_L7_R2.fastq.gz
132	/home/rpg79/FWrawreads/Plate02_C05_132_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_C05_132_R_10484089_2373JKLT3_L7_R2.fastq.gz
149	/home/rpg79/FWrawreads/Plate02_C06_149_V_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_C06_149_V_10484089_2373JKLT3_L_R2.fastq.gz
BLANK01	/home/rpg79/FWrawreads/Plate02_C07_BLANK01_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_C07_BLANK01_10484089_2373JKLT3_L_R2.fastq.gz
94	/home/rpg79/FWrawreads/Plate02_D01_94_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_D01_94_V_10484089_2373JKLT3_L7_R2.fastq.gz
102	/home/rpg79/FWrawreads/Plate02_D02_102_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_D02_102_R_10484089_2373JKLT3_L7_R2.fastq.gz
110	/home/rpg79/FWrawreads/Plate02_D03_110_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_D03_110_R_10484089_2373JKLT3_L7_R2.fastq.gz
117	/home/rpg79/FWrawreads/Plate02_D04_117_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_D04_117_R_10484089_2373JKLT3_L7_R2.fastq.gz
133	/home/rpg79/FWrawreads/Plate02_D05_133_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_D05_133_R_10484089_2373JKLT3_L7_R2.fastq.gz
162	/home/rpg79/FWrawreads/Plate02_D06_162_B_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_D06_162_B_10484089_2373JKLT3_L_R2.fastq.gz
95	/home/rpg79/FWrawreads/Plate02_E01_95_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_E01_95_R_10484089_2373JKLT3_L7_R2.fastq.gz
103	/home/rpg79/FWrawreads/Plate02_E02_103_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_E02_103_R_10484089_2373JKLT3_L7_R2.fastq.gz
111	/home/rpg79/FWrawreads/Plate02_E03_111_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_E03_111_R_10484089_2373JKLT3_L7_R2.fastq.gz
118	/home/rpg79/FWrawreads/Plate02_E04_118_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_E04_118_R_10484089_2373JKLT3_L7_R2.fastq.gz
134	/home/rpg79/FWrawreads/Plate02_E05_134_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_E05_134_R_10484089_2373JKLT3_L7_R2.fastq.gz
EB6	/home/rpg79/FWrawreads/Plate02_E06_EB6_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_E06_EB6_10484089_2373JKLT3_L_R2.fastq.gz
96	/home/rpg79/FWrawreads/Plate02_F01_96_S_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_F01_96_S_10484089_2373JKLT3_L7_R2.fastq.gz
104	/home/rpg79/FWrawreads/Plate02_F02_104_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_F02_104_V_10484089_2373JKLT3_L7_R2.fastq.gz
112	/home/rpg79/FWrawreads/Plate02_F03_112_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_F03_112_V_10484089_2373JKLT3_L7_R2.fastq.gz
119	/home/rpg79/FWrawreads/Plate02_F04_119_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_F04_119_R_10484089_2373JKLT3_L7_R2.fastq.gz
136	/home/rpg79/FWrawreads/Plate02_F05_136_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_F05_136_R_10484089_2373JKLT3_L7_R2.fastq.gz
50	/home/rpg79/FWrawreads/Plate02_F06_50_S_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_F06_50_S_10484089_2373JKLT3_L7_R2.fastq.gz
97	/home/rpg79/FWrawreads/Plate02_G01_97_R_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_G01_97_R_10484089_2373JKLT3_L_R2.fastq.gz
105	/home/rpg79/FWrawreads/Plate02_G02_105_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_G02_105_R_10484089_2373JKLT3_L7_R2.fastq.gz
113	/home/rpg79/FWrawreads/Plate02_G03_113_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_G03_113_R_10484089_2373JKLT3_L7_R2.fastq.gz
120	/home/rpg79/FWrawreads/Plate02_G04_120_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_G04_120_R_10484089_2373JKLT3_L7_R2.fastq.gz
137	/home/rpg79/FWrawreads/Plate02_G05_137_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_G05_137_R_10484089_2373JKLT3_L7_R2.fastq.gz
51	/home/rpg79/FWrawreads/Plate02_G06_51_V_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_G06_51_V_10484089_2373JKLT3_L_R2.fastq.gz
98	/home/rpg79/FWrawreads/Plate02_H01_98_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_H01_98_R_10484089_2373JKLT3_L7_R2.fastq.gz
106	/home/rpg79/FWrawreads/Plate02_H02_106_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_H02_106_V_10484089_2373JKLT3_L7_R2.fastq.gz
114	/home/rpg79/FWrawreads/Plate02_H03_114_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_H03_114_R_10484089_2373JKLT3_L7_R2.fastq.gz
121	/home/rpg79/FWrawreads/Plate02_H04_121_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_H04_121_V_10484089_2373JKLT3_L7_R2.fastq.gz
146	/home/rpg79/FWrawreads/Plate02_H05_146_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_H05_146_V_10484089_2373JKLT3_L7_R2.fastq.gz
EB7	/home/rpg79/FWrawreads/Plate02_H06_EB7_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_H06_EB7_10484089_2373JKLT3_L_R2.fastq.gz
